e|0|0|0e+00
f|0|0|0
g|0|0|0
e|0|1|0.0e+00
f|0|1|0.0
g|0|1|0
e|0|2|0.00e+00
f|0|2|0.00
g|0|2|0
e|0|3|0.000e+00
f|0|3|0.000
g|0|3|0
e|0|4|0.0000e+00
f|0|4|0.0000
g|0|4|0
e|0|5|0.00000e+00
f|0|5|0.00000
g|0|5|0
e|0|6|0.000000e+00
f|0|6|0.000000
g|0|6|0
e|0|7|0.0000000e+00
f|0|7|0.0000000
g|0|7|0
e|0|8|0.00000000e+00
f|0|8|0.00000000
g|0|8|0
e|0|10|0.0000000000e+00
f|0|10|0.0000000000
g|0|10|0
e|0|12|0.000000000000e+00
f|0|12|0.000000000000
g|0|12|0
e|0|15|0.000000000000000e+00
f|0|15|0.000000000000000
g|0|15|0
e|0|17|0.00000000000000000e+00
f|0|17|0.00000000000000000
g|0|17|0
e|1|0|-0e+00
f|1|0|-0
g|1|0|-0
e|1|1|-0.0e+00
f|1|1|-0.0
g|1|1|-0
e|1|2|-0.00e+00
f|1|2|-0.00
g|1|2|-0
e|1|3|-0.000e+00
f|1|3|-0.000
g|1|3|-0
e|1|4|-0.0000e+00
f|1|4|-0.0000
g|1|4|-0
e|1|5|-0.00000e+00
f|1|5|-0.00000
g|1|5|-0
e|1|6|-0.000000e+00
f|1|6|-0.000000
g|1|6|-0
e|1|7|-0.0000000e+00
f|1|7|-0.0000000
g|1|7|-0
e|1|8|-0.00000000e+00
f|1|8|-0.00000000
g|1|8|-0
e|1|10|-0.0000000000e+00
f|1|10|-0.0000000000
g|1|10|-0
e|1|12|-0.000000000000e+00
f|1|12|-0.000000000000
g|1|12|-0
e|1|15|-0.000000000000000e+00
f|1|15|-0.000000000000000
g|1|15|-0
e|1|17|-0.00000000000000000e+00
f|1|17|-0.00000000000000000
g|1|17|-0
e|2|0|1e+00
f|2|0|1
g|2|0|1
e|2|1|1.0e+00
f|2|1|1.0
g|2|1|1
e|2|2|1.00e+00
f|2|2|1.00
g|2|2|1
e|2|3|1.000e+00
f|2|3|1.000
g|2|3|1
e|2|4|1.0000e+00
